"ID","ccode","redist","finan","incbins","female","age","partyid","educ"
19182,"CL",2,7,4,1,58,4,3
8975,"IS",1,0,5,0,47,7,4
20230,"CY",2,1,5,1,28,2,4
3202,"US",4,7,5,1,60,2,3
19938,"CZ",2,1,5,0,50,4,4
3666,"HU",4,6,3,1,43,2,3
18509,"DK",3,0,1,0,47,7,2
2491,"EE",3,-1,4,0,40,7,3
20481,"SE",4,0,4,1,56,4,1
2778,"SK",3,0,3,1,35,4,3
15389,"DE-W",2,2,1,1,73,2,3
836,"BG",2,4,5,1,48,4,2
19315,"PT",3,7,5,1,69,2,3
15461,"KR",4,1,2,1,54,2,3
11859,"ES",2,5,2,0,58,4,3
19904,"BG",2,1,4,0,43,4,3
5798,"US",5,0,1,1,56,2,3
7550,"US",2,7,4,0,58,7,3
2614,"CN",4,0,1,1,55,7,3
18411,"CN",2,1,3,1,35,2,2
12261,"CL",2,1,5,1,21,2,4
18279,"TR",5,1,2,1,49,7,3
15633,"FR",1,1,3,0,30,4,1
17688,"DE-E",5,7,2,0,74,4,3
991,"AR",2,0,1,1,52,7,3
12559,"GB-GBN",5,0,1,1,73,4,1
8747,"CL",2,1,5,0,28,7,4
10374,"HR",3,0,4,0,45,2,3
6103,"HU",2,2,2,0,73,4,3
1994,"CH",2,1,4,0,44,2,2
120,"CN",1,10,4,0,53,4,4
9212,"NO",2,7,4,0,53,7,3
18405,"VE",4,5,5,1,28,2,4
5775,"RU",4,10,5,1,54,2,4
7658,"GB-GBN",4,1,2,0,56,2,1
16464,"ZA",2,-1,5,0,53,2,4
20514,"CN",1,1,2,0,73,7,1
6116,"SE",1,7,4,1,67,4,4
19037,"KR",1,7,4,0,53,4,4
1306,"US",5,7,3,1,38,4,3
18466,"ZA",5,4,2,0,66,2,3
12526,"IS",1,0,2,0,62,2,1
3379,"FR",3,7,2,1,57,4,3
16976,"DE-W",1,2,2,1,66,4,4
11359,"NO",4,0,2,1,53,7,4
15349,"SK",5,1,2,1,58,2,3
4108,"AR",4,1,3,1,35,2,2
8268,"GB-GBN",3,1,2,0,62,4,1
18232,"PH",1,1,4,0,40,4,4
20221,"UA",1,6,3,0,49,7,4
19558,"AU",2,-1,5,1,30,2,3
20001,"TW",2,6,2,1,70,2,3
17814,"PL",2,1,5,1,26,2,4
17818,"FR",4,7,4,0,76,4,3
10805,"NO",3,4,3,1,19,7,3
6539,"UA",4,1,1,0,63,2,4
16104,"TR",2,1,1,1,69,4,3
719,"ES",3,0,3,1,66,4,2
3928,"PH",4,10,5,0,69,5,3
4291,"SE",5,5,5,0,61,2,4
